symptom_text,risk_tier
enga appaku nethu rathiri irundhu nenju vali romba irukku udane vanga,ER_NOW
en pondatiku sudden ah moochu vida mudiyala,ER_NOW
severe nenju vali,ER_NOW
en veetukararukku mayakkam pottu vizhunthutanga,ER_NOW
en ammaku romba vanthi varuthu continuous ah,ER_NOW
nenju vali romba kashdum,ER_NOW
enga appaku moochu thinaral,ER_NOW
sudden mayakkam,ER_NOW
en ponnu nenju vali romba,ER_NOW
moochu vida mudiyala,ER_NOW
en husband nethu rathiri irundhu nenju vali romba udane hospital,ER_NOW
en payyan ippo sudden ah vanthi blood varuthu,ER_NOW
breathing kashdum romba,ER_NOW
mayakkam twice today,ER_NOW
en daughter nenju vali severe,ER_NOW
thudarchiya vanthi since morning,ER_NOW
enga thathaku moochu vida mudiyala,ER_NOW
sudden ah mayakkam pottu,ER_NOW
nenju vali romba irukku,ER_NOW
en wife vanthi nonstop,ER_NOW
chestpain bad,ER_NOW
moochu kashdum,ER_NOW
enga appa sudden mayakkam,ER_NOW
vanthi blood,ER_NOW
en veetukarar nenju vali,ER_NOW
mayakkam pottu,ER_NOW
severe nenju vali udane vanga,ER_NOW
moochu romba kashdum,ER_NOW
en amma continuous vanthi,ER_NOW
en payyan nenju vali plus moochu thinaral,ER_NOW
en husband mayakkam romba,ER_NOW
nenju vali nethu rathiri irundhu,ER_NOW
mayakkam repeat ah,ER_NOW
en ponnu blood vanthi,ER_NOW
enga thatha nenju vali severe,ER_NOW
sudden vizhunthutaru,ER_NOW
thudarchiya vanthi,ER_NOW
nenju vali romba,ER_NOW
enga appaku nethu rathiri irundhu nenju vali romba irukku udane hospital poga num,ER_NOW
en pondatiku sudden ah moochu thinaral mayakkam varuthu romba bayama irukku,ER_NOW
en veetukararukku nenju vali odu vanthi continuous ah,ER_NOW
en amma sudden ah mayakkam pottu moochu sari illa,ER_NOW
en payyan heavy nenju vali moochu muduthe,ER_NOW
en paati blood vanthi romba weak,ER_NOW
ippo dhaan sudden ah mayakkam pottu vizhunthen,ER_NOW
en ponnu sudden nenju vali mayakkam,ER_NOW
moochu kashdum nenju vali severe,ER_NOW
en husband nenju vali nethu irundhu mayakkam,ER_NOW
continuous vanthi weak ah irukku,ER_NOW
en akka moochu thinaral romba mosama,ER_NOW
nenju vali then sudden mayakkam,ER_NOW
enga thatha dizzy pottu mayakkam,ER_NOW
vanthi control aagala,ER_NOW
moochu romba hard,ER_NOW
vayiru vali blood vanthi,ER_NOW
en wife nenju vali mayakkam,ER_NOW
mayakkam thirumb thirumb,ER_NOW
nenju vali severe ippo,ER_NOW
moochu thinaral romba,ER_NOW
en amma continuous vanthi weak,ER_NOW
sudden mayakkam attack,ER_NOW
en payyan nenju vali moochu kashdum,ER_NOW
en husband serious mayakkam,ER_NOW
nenju vali nethu rathiri,ER_NOW
mayakkam repeat,ER_NOW
thudarchiya vanthi udane vanga,ER_NOW
enga appaku nenju vali romba,ER_NOW
sudden moochu problem,ER_NOW
en pondati mayakkam pottu vizhunthuta,ER_NOW
blood vanthi,ER_NOW
en amma sudden nenju vali,ER_NOW
payyan moochu thinaral,ER_NOW
en paati repeat mayakkam,ER_NOW
nenju vali mayakkam,ER_NOW
en veetukarar nenju vali nethu irundhu,ER_NOW
nenju vali severe,ER_NOW
en payyan moochu kashdum,ER_NOW
mayakkam romba,ER_NOW
continuous vanthi,ER_NOW
en akka nenju vali,ER_NOW
sudden vizhunthen,ER_NOW
moochu thinaral severe,ER_NOW
enga appa mayakkam,ER_NOW
vayiru vali vanthi,ER_NOW
en pondati sudden mayakkam,ER_NOW
nenju vali udane vanga,ER_NOW
moochu hard,ER_NOW
en amma vanthi romba,ER_NOW
en payyan nenju vali,ER_NOW
mayakkam again,ER_NOW
husband moochu thinaral,ER_NOW
enga thatha nenju vali,ER_NOW
nenju vali hospital now,ER_NOW
sudden moochu kashdum,ER_NOW
en pondati continuous vanthi mayakkam,ER_NOW
en husband nenju vali romba mosam,ER_NOW
enga appa mayakkam nethu rathiri,ER_NOW
nenju vali doctor udane,ER_NOW
en payyan moochu trouble mayakkam,ER_NOW
sudden blood vanthi weak,ER_NOW
en ponnu sudden nenju vali,ER_NOW
moochu vida mudiyala udane vanga,ER_NOW
en amma sudden mayakkam,ER_NOW
vayiru vali continuous vanthi,ER_NOW
en husband nenju vali moochu issue,ER_NOW
mayakkam varuthu repeat,ER_NOW
enga thatha blood vanthi,ER_NOW
en payyan nenju vali mayakkam,ER_NOW
husband moochu vida mudiyala,ER_NOW
repeat mayakkam,ER_NOW
enga appa continuous vanthi,ER_NOW
sudden nenju vali,ER_NOW
en wife moochu thinaral,ER_NOW
en amma sudden vizhunthanga,ER_NOW
payyan continuous vanthi,ER_NOW
moochu kashdum severe,ER_NOW
